episode_id,step,timestamp,ray_vis_0,ray_vis_1,ray_vis_2,ray_vis_3,ray_vis_4,ray_vis_5,ray_vis_6,ray_vis_7,ray_vis_8,ray_vis_9,ray_vis_10,ray_vis_11,ray_vis_12,ray_vis_13,ray_vis_14,ray_vis_15,ray_vis_16,ray_vis_17,ray_vis_18,ray_vis_19,ray_depth_0,ray_depth_1,ray_depth_2,ray_depth_3,ray_depth_4,ray_depth_5,ray_depth_6,ray_depth_7,ray_depth_8,ray_depth_9,ray_depth_10,ray_depth_11,ray_depth_12,ray_depth_13,ray_depth_14,ray_depth_15,ray_depth_16,ray_depth_17,ray_depth_18,ray_depth_19,gyro_x,gyro_y,gyro_z,speed,steering,acceleration
1782852172,0,1782852172.477761,0.84375,0.7109375,0.734375,0.8046875,0.84375,0.859375,0.875,0.875,0.828125,0.84375,0.859375,0.875,0.890625,0.90625,0.921875,0.9375,0.953125,0.9765625,1.0,0.0078125,0.11428571492433548,1.0,0.350857138633728,0.46799999475479126,0.46799999475479126,0.46799999475479126,0.49142858386039734,0.49142858386039734,0.427142858505249,0.427142858505249,0.427142858505249,0.46799999475479126,0.4465714395046234,0.2977142930030823,0.39314284920692444,0.33885714411735535,0.16371428966522217,0.1534285694360733,0.2977142930030823,1.0,-0.002130528911948204,0.001065264455974102,0.002130528911948204,0.0,0.0,0.0
1782852172,1,1782852172.4999201,0.84375,0.7109375,0.734375,0.8046875,0.84375,0.859375,0.875,0.875,0.828125,0.8515625,0.859375,0.875,0.890625,0.90625,0.921875,0.9375,0.953125,0.9765625,1.0,0.0078125,0.11571428924798965,0.6142857074737549,0.33885714411735535,0.46799999475479126,0.49142858386039734,0.46799999475479126,0.49142858386039734,0.5171428322792053,0.4465714395046234,0.4465714395046234,0.4465714395046234,0.46799999475479126,0.4465714395046234,0.5460000038146973,0.39314284920692444,0.39314284920692444,0.16371428966522217,0.14885714650154114,0.2977142930030823,1.0,0.011717909015715122,0.003195793367922306,-0.017044231295585632,0.0,0.0,0.0
1782852172,2,1782852172.5197413,0.8515625,0.7109375,0.734375,0.8046875,0.84375,0.859375,0.875,0.875,0.828125,0.8515625,0.859375,0.875,0.890625,0.90625,0.921875,0.9375,0.953125,0.9765625,1.0,0.0078125,0.11428571492433548,1.0,0.32742857933044434,0.49142858386039734,0.49142858386039734,0.46799999475479126,0.49142858386039734,0.5171428322792053,0.427142858505249,0.427142858505249,0.427142858505249,0.46799999475479126,0.4465714395046234,0.39314284920692444,0.36399999260902405,0.36399999260902405,0.46799999475479126,0.16657142341136932,0.3171428442001343,1.0,0.002130528911948204,0.003195793367922306,0.00532632227987051,0.0,0.0,0.0
1782852172,3,1782852172.580007,0.84375,0.703125,0.7265625,0.796875,0.8359375,0.859375,0.8671875,0.8671875,0.8203125,0.84375,0.8515625,0.875,0.890625,0.8984375,0.921875,0.9375,0.953125,0.96875,1.0,0.0078125,0.11428571492433548,1.0,0.32742857933044434,0.49142858386039734,0.49142858386039734,0.46799999475479126,0.49142858386039734,0.5171428322792053,0.427142858505249,0.427142858505249,0.427142858505249,0.46799999475479126,0.4465714395046234,0.39314284920692444,0.36399999260902405,0.36399999260902405,0.46799999475479126,0.16657142341136932,0.3171428442001343,1.0,-0.001065264455974102,0.003195793367922306,0.008522115647792816,0.0,0.0,0.0
1782852172,4,1782852172.6035,0.8828125,0.7109375,0.734375,0.796875,0.8359375,0.859375,0.875,0.875,0.828125,0.84375,0.859375,0.875,0.890625,0.8984375,0.9140625,0.9296875,0.953125,0.96875,1.0,0.0078125,0.11428571492433548,0.9825714230537415,0.33885714411735535,0.46799999475479126,0.46799999475479126,0.46799999475479126,0.49142858386039734,0.5171428322792053,0.46799999475479126,0.4465714395046234,0.4465714395046234,0.46799999475479126,0.4465714395046234,0.39314284920692444,0.39314284920692444,0.39314284920692444,0.46799999475479126,0.13285714387893677,1.0,1.0,0.002130528911948204,-0.001065264455974102,-0.007456851191818714,0.0,0.0,0.0
1782852172,5,1782852172.6665308,0.8515625,0.71875,0.734375,0.8046875,0.84375,0.8671875,0.8828125,0.8828125,0.8359375,0.8515625,0.8671875,0.8828125,0.8984375,0.9140625,0.9296875,0.9453125,0.9609375,0.9765625,0.0078125,0.0078125,0.11571428924798965,1.0,0.33885714411735535,0.46799999475479126,0.46799999475479126,0.46799999475479126,0.49142858386039734,0.5171428322792053,0.4465714395046234,0.427142858505249,0.427142858505249,0.4465714395046234,0.4465714395046234,0.36399999260902405,0.36399999260902405,0.39314284920692444,0.13657142221927643,0.13285714387893677,1.0,1.0,0.007456851191818714,-0.002130528911948204,-0.004261057823896408,0.0,0.0,0.0
1782852172,6,1782852172.7063096,0.84375,0.7109375,0.7265625,0.796875,0.8359375,0.859375,0.875,0.875,0.828125,0.84375,0.859375,0.875,0.890625,0.90625,0.921875,0.9375,0.953125,0.96875,1.0,0.0078125,0.1128571406006813,0.8934285640716553,0.33885714411735535,0.46799999475479126,0.46799999475479126,0.39314284920692444,0.49142858386039734,0.5171428322792053,0.4465714395046234,0.427142858505249,0.427142858505249,0.46799999475479126,0.4465714395046234,0.3779999911785126,0.39314284920692444,0.39314284920692444,0.13657142221927643,0.1534285694360733,1.0,1.0,0.004261057823896408,0.003195793367922306,0.0,0.0,0.0,0.0
1782852172,7,1782852172.7314844,0.84375,0.703125,0.7265625,0.796875,0.8359375,0.859375,0.8671875,0.8671875,0.8203125,0.84375,0.8515625,0.8671875,0.890625,0.8984375,0.9140625,0.9296875,0.9453125,0.96875,1.0,0.0078125,0.1128571406006813,0.8934285640716553,0.33885714411735535,0.46799999475479126,0.46799999475479126,0.39314284920692444,0.49142858386039734,0.5171428322792053,0.4465714395046234,0.427142858505249,0.427142858505249,0.46799999475479126,0.4465714395046234,0.3779999911785126,0.39314284920692444,0.39314284920692444,0.13657142221927643,0.1534285694360733,1.0,1.0,0.002130528911948204,0.001065264455974102,-0.004261057823896408,0.0,0.0,0.0
1782852172,8,1782852172.7990317,0.8515625,0.7109375,0.7265625,0.796875,0.8359375,0.859375,0.875,0.875,0.828125,0.84375,0.859375,0.875,0.890625,0.90625,0.921875,0.9375,0.953125,0.9765625,0.0078125,0.0078125,0.1534285694360733,1.0,0.3779999911785126,0.46799999475479126,0.46799999475479126,0.40942856669425964,0.49142858386039734,0.5171428322792053,0.46799999475479126,0.4465714395046234,0.4465714395046234,0.4465714395046234,0.4465714395046234,0.3779999911785126,0.3779999911785126,0.36399999260902405,0.16371428966522217,0.1534285694360733,0.30714285373687744,1.0,0.008522115647792816,0.003195793367922306,-0.019174760207533836,0.0,0.0,0.0
1782852172,9,1782852172.836204,0.828125,0.7109375,0.7265625,0.796875,0.8359375,0.859375,0.875,0.875,0.828125,0.84375,0.859375,0.875,0.890625,0.90625,0.921875,0.9375,0.953125,0.9765625,0.0078125,0.0078125,0.11428571492433548,1.0,0.33885714411735535,0.46799999475479126,0.46799999475479126,0.46799999475479126,0.49142858386039734,0.49142858386039734,0.4465714395046234,0.4465714395046234,0.4465714395046234,0.4465714395046234,0.4465714395046234,0.3779999911785126,0.3779999911785126,0.39314284920692444,0.46799999475479126,0.1445714235305786,0.30714285373687744,1.0,0.003195793367922306,0.003195793367922306,0.009587380103766918,0.0,0.0,0.0
